name,data
vehicle,The system must detect highway lane lines distinguish between dashed and straight lines and provide warning in case of loss of lanes.
vehicle,The system must track objects around the vehicle using the scanner and algorithms and behave accordingly.
vehicle,The sensors must monitor the position of objects around the vehicle as they move within the scanning range.
vehicle,The system must recognize traffic signs and behave according to the color of light.
vehicle,The system must adjust speed and position by detecting vehicles and tracking events.
vehicle,The system must keep constant safe distance with a vehicle on front.
vehicle,When a pedestrian step in front of the vehicle and a collision is possible sudden braking must be performed. When the obstacles pedestrians and vehicles on the road are lifted the vehicle accelerates to regain its speed.
vehicle,The system must create a road planner that creates a safe trajectory for the vehicle to follow.
vehicle,The system must be able to have knowledge of all the vehicles on the same side of the road without regards of their speeds.
vehicle,The system must recognize emergency vehicles and let them pass ahead.
vehicle,In the absence of lane markings (an unmarked lane dirt road bad weather etc.) the system becomes ineffective and must give the user an audible or visual warning.
vehicle,If there is a problem with detecting sensors and camera the system must switch off and warns the user.
vehicle,The autonomous car system needs to avoid accidents and shall not injure passengers.
vehicle,The autonomous car system shall not start moving when its doors are still open and notify user when safety belt has not worn.
vehicle,The vehicle needs to identify the system errors.
vehicle,The system should work with maximum performance with minimum used energy and fuel.
vehicle,The system needs to notify user in the dangerous situation and let the user take vehicle’s control when system not working well.
vehicle,The vehicle needs to follow the traffic rules detects and responds to objects in its environment.
vehicle,System should be able to handle many inputs from its environment in different challenging weather and traffic conditions.
automated,The user interaction with the system is expected to be minimal.
automated,The system should be able to receive and store data from various sources such as sensors or manual input.
automated,The system should be able to perform calculations data transformations and other manipulations on the input data.
automated,The system should reduce human error and increase efficiency.
automated,The system should be able to communicate and exchange data with other systems or software.
automated,The system should be able to generate reports and provide data analysis capabilities.
common_sensitive_nfr,Ability to extend the system is limitless. New functionalities can be added to system anytime.
common_sensitive_nfr,The system should work on Linux and Windows.
common_sensitive_nfr,Every functionality on the code must be able to work smoothly in simulation environment.
common_sensitive_nfr,The application should be designed for mobile devices and should be available on both iOS and Android platforms.
sensitive_nfr,The system needs to take ethical decisions in case of emergency.
sensitive_nfr,When an unpredictable failure occurs system need to recover briefly.
sensitive_nfr,The system must be configured to respond to commands in X sec.
interactive_website,Website must be able to accept and save data from users.
interactive_website,Website must be adaptable to all device screen sizes.
interactive_website,Website must be able to send and retrieve data to and from the database.
interactive_website,Web server must have constant access to the internet.
interactive_website,Website must always be available with limited to no downtime.
interactive_website,System needs to be capable of handling no less than x transactions per day.
interactive_website,The system should be able to support x simultaneous users.
interactive_website,Website must have quick response and processing times.
interactive_website,All users must be able to interact seamlessly with website elements (Search bars Buttons Menus Text Input Fields etc).
interactive_website,Registered users must be required to enter login details before accessing their information.
interactive_website,Admin must be able to update website information.
interactive_website,The system must have a consistent look and feel throughout the website.
interactive_website,The system should provide on-line help in website navigation.
interactive_website,The system should provide a search facility that will allow full-text searching of all web pages that the user is permitted to access.
interactive_website,The system shall allow the user's status to be stored for the next time he returns to the web site.
interactive_website,Transaction data must be transmitted in encrypted form.
interactive_website,The system shall provide a web page that explains how to navigate the site. This page should be customized based on what pages that user is allowed to access.
interactive_website,The help page should be accessible from all other pages.
ecommerce_website,The system must Display accurate up-to-date product information.
ecommerce_website,Product owners will be allowed to maintain the data about their products directly.
ecommerce_website,The system should reduce the workload of Customer Service as customers are able to find the information they need from the web-site.
ecommerce_website,Site navigation data could be sent to the Marketing Department. Understanding how a customer uses the web site to make a purchase will result in improvements in getting and keeping customers.
ecommerce_website,Purchase information will be sent directly to Shipping for inventory control and order processing.
ecommerce_website,The system should customize product offerings to specific users.
ecommerce_website,The system must allow customers to place an order through the website.
ecommerce_website,The platform should provide search and navigation functionalities for users to find and browse content.
ecommerce_website,A user who already knows what product he is interested in should be able to locate and view that page in x seconds.
ecommerce_website,The number of web pages navigated to access product information from the top page should not exceed x.
work_or_school_website,Website should allow users to upload files for processing.
work_or_school_website,Website must require users to login to access certain features.
work_or_school_website,Admin must be authorized by company executives to create an account to access the web portal to the websites database and backend.
work_or_school_website,Admin must be able to manage user account information.
